Quarters,AskingRate,,,,Boston Office Leased Lists from Y2005-Y2010
3,13.07,,,,
3,12.63,,,,
3,19.1,,,,
2,15,,,,
3,15,,,,
5,20,,,,
3,12,,,,
2,9.63,,,,
6,10.94,,,,
4,11.5,,,,
6,15.33,,,,
5,14,,,,
5,14,,,,
14,15,,,,
5,15,,,,
3,10,,,,
5,10,,,,
3,13.5,,,,
3,15.5,,,,
5,14.4,,,,
5,13,,,,
5,13,,,,
6,12,,,,
10,9,,,,
0,15,,,,
4,8.47,,,,
11,15,,,,
4,9.47,,,,
1,12,,,,
1,12,,,,
1,12,,,,
2,15.55,,,,
2,12,,,,
6,13.1,,,,
6,23,,,,
4,17,,,,
4,17,,,,
8,20.8,,,,
1,14,,,,
4,17,,,,
14,10.2,,,,
3,14.41,,,,
2,18.44,,,,
1,19.43,,,,
1,10.5,,,,
6,15,,,,
5,18,,,,
0,23.5,,,,
1,23.5,,,,
1,23.5,,,,
5,23.5,,,,
3,22.5,,,,
5,23.5,,,,
4,22,,,,
2,18,,,,
3,15,,,,
7,15,,,,
2,18,,,,
2,20,,,,
7,15,,,,
6,18,,,,
2,14,,,,
1,12,,,,
2,12,,,,
8,13.84,,,,
1,10.4,,,,
9,10,,,,
15,10,,,,
5,10,,,,
16,10,,,,
5,15,,,,
2,19.5,,,,
9,12,,,,
2,15,,,,
4,15.28,,,,
2,12,,,,
3,10,,,,
0,9.5,,,,
1,12,,,,
2,12,,,,
5,16.5,,,,
4,16.5,,,,
6,16.5,,,,
7,16.5,,,,
2,16.5,,,,
6,16.5,,,,
4,16.5,,,,
5,12,,,,
2,12.59,,,,
2,12.59,,,,
4,10,,,,
4,10,,,,
4,10,,,,
4,15,,,,
2,12,,,,
2,12,,,,
6,8,,,,
8,18.5,,,,
8,20.18,,,,
5,12,,,,
5,12,,,,
7,16,,,,
5,16,,,,
1,16,,,,
3,16,,,,
6,17.14,,,,
1,23.25,,,,
6,18.75,,,,
1,30.95,,,,
2,20,,,,
2,24,,,,
2,17,,,,
1,17,,,,
1,17,,,,
5,12,,,,
6,10,,,,
2,11,,,,
3,10.4,,,,
3,12,,,,
1,16.8,,,,
7,22.5,,,,
10,15,,,,
2,12,,,,
4,12,,,,
2,12.68,,,,
4,23.86,,,,
2,19,,,,
1,19,,,,
10,18,,,,
4,19,,,,
12,18,,,,
12,18,,,,
1,20,,,,
5,19,,,,
1,20,,,,
3,15,,,,
2,16,,,,
3,17.75,,,,
0,17.75,,,,
0,17.75,,,,
9,18,,,,
3,17.5,,,,
9,17,,,,
1,17.5,,,,
6,20.4,,,,
3,22.5,,,,
6,16.36,,,,
12,20,,,,
1,17.5,,,,
3,18,,,,
3,18,,,,
1,17.5,,,,
2,19,,,,
2,17.5,,,,
2,16.5,,,,
4,17.5,,,,
6,17.5,,,,
3,17.5,,,,
3,13.5,,,,
8,13.5,,,,
5,19.5,,,,
6,14.94,,,,
3,15,,,,
7,12,,,,
2,12,,,,
0,12,,,,
10,12,,,,
2,18,,,,
4,11.75,,,,
8,15,,,,
6,17,,,,
3,7,,,,
1,11.94,,,,
2,18.5,,,,
6,14.5,,,,
0,14,,,,
6,21,,,,
2,15,,,,
1,15,,,,
3,12,,,,
1,17,,,,
1,17,,,,
1,17,,,,
1,17,,,,
2,15.5,,,,
4,13.5,,,,
2,15.5,,,,
4,27,,,,
7,27,,,,
5,27,,,,
7,22,,,,
7,22,,,,
1,16.5,,,,
3,27.5,,,,
4,22.5,,,,
3,13,,,,
0,10.29,,,,
6,23.65,,,,
5,14.4,,,,
6,14.5,,,,
6,14.5,,,,
5,14.5,,,,
6,10,,,,
6,10,,,,
5,18,,,,
7,28.75,,,,
7,28.75,,,,
3,28.75,,,,
7,14.5,,,,
3,16.5,,,,
5,22,,,,
15,22,,,,
7,22,,,,
0,20,,,,
1,14,,,,
1,14,,,,
13,14,,,,
14,14,,,,
1,14,,,,
9,15.45,,,,
5,15.45,,,,
5,18,,,,
1,18,,,,
1,17.16,,,,
0,18,,,,
2,18,,,,
2,18,,,,
2,18,,,,
5,16.68,,,,
2,9.76,,,,
1,14.12,,,,
1,15,,,,
1,10,,,,
3,16,,,,
1,8.5,,,,
3,13.41,,,,
3,15.6,,,,
7,17,,,,
1,8,,,,
7,17,,,,
7,17,,,,
8,14,,,,
3,15,,,,
3,15,,,,
3,15,,,,
3,15,,,,
3,23.75,,,,
2,14,,,,
5,22,,,,
2,21.5,,,,
1,21.5,,,,
1,21.5,,,,
2,11.75,,,,
3,11.61,,,,
2,11.25,,,,
7,8,,,,
2,6.5,,,,
5,18.5,,,,
3,18.5,,,,
5,18.5,,,,
2,20,,,,
7,20,,,,
6,21.91,,,,
2,19.5,,,,
7,21.5,,,,
2,12,,,,
2,14,,,,
15,10,,,,
15,10,,,,
7,12,,,,
6,12,,,,
3,11.57,,,,
3,17.5,,,,
5,17.5,,,,
3,17.5,,,,
4,18,,,,
1,12.63,,,,
4,13,,,,
2,14.5,,,,
6,12.5,,,,
3,14.5,,,,
3,14.5,,,,
5,14.18,,,,
4,18,,,,
2,24,,,,
0,24,,,,
1,25.5,,,,
1,30.92,,,,
6,19,,,,
3,20,,,,
3,19,,,,
4,19.5,,,,
1,20,,,,
0,18,,,,
5,19.5,,,,
1,19.5,,,,
1,19,,,,
3,20,,,,
7,17,,,,
7,17,,,,
11,19,,,,
11,22,,,,
12,25.75,,,,
1,24,,,,
6,24,,,,
1,24,,,,
0,25.75,,,,
4,22,,,,
11,25.75,,,,
7,19.5,,,,
4,19.5,,,,
2,19,,,,
5,19.5,,,,
1,19.5,,,,
0,20,,,,
2,19,,,,
0,19,,,,
1,20,,,,
4,19.5,,,,
6,19,,,,
1,20,,,,
0,19,,,,
8,19.5,,,,
1,19,,,,
9,16,,,,
10,16,,,,
4,14.5,,,,
2,8,,,,
9,16,,,,
11,17,,,,
12,13.5,,,,
4,15,,,,
5,25,,,,
4,25,,,,
7,25,,,,
5,25,,,,
8,24,,,,
3,19.5,,,,
1,19,,,,
0,20,,,,
1,18,,,,
1,19.5,,,,
1,19.5,,,,
2,20,,,,
11,12,,,,
2,24,,,,
1,24,,,,
3,18,,,,
1,16,,,,
1,12,,,,
6,10,,,,
6,14,,,,
1,19.5,,,,
2,16.5,,,,
7,17,,,,
14,15,,,,
12,16,,,,
5,16.5,,,,
1,17,,,,
2,17,,,,
4,16.5,,,,
4,15,,,,
4,11.25,,,,
2,16.61,,,,
0,19.63,,,,
4,11.25,,,,
7,14.5,,,,
7,14.5,,,,
7,14.5,,,,
5,28,,,,
2,25,,,,
10,23,,,,
1,17,,,,
1,12,,,,
1,16,,,,
4,20,,,,
0,8,,,,
1,15,,,,
2,19.2,,,,
2,19.2,,,,
2,19.2,,,,
1,20,,,,
3,20,,,,
1,20,,,,
4,25,,,,
2,25,,,,
3,19,,,,
5,20,,,,
3,20,,,,
10,20,,,,
3,20,,,,
10,24,,,,
10,20,,,,
1,25,,,,
10,19,,,,
1,10,,,,
6,18,,,,
8,18,,,,
8,18,,,,
0,19,,,,
4,12.5,,,,
9,17,,,,
12,18,,,,
13,18,,,,
9,18,,,,
5,18,,,,
14,17,,,,
2,18,,,,
2,18,,,,
7,16,,,,
6,22,,,,
3,22,,,,
8,19,,,,
8,16.5,,,,
0,22,,,,
1,22,,,,
3,22,,,,
6,16.5,,,,
11,22,,,,
9,18,,,,
3,22,,,,
12,22,,,,
2,22,,,,
1,12,,,,
5,13,,,,
0,12,,,,
4,12,,,,
4,12,,,,
1,10,,,,
2,9.8,,,,
9,20,,,,
2,9.25,,,,
2,9.25,,,,
2,17,,,,
4,15.5,,,,
5,15,,,,
2,17.5,,,,
2,17.5,,,,
2,18,,,,
2,17,,,,
10,16,,,,
4,16,,,,
2,20.5,,,,
8,17.95,,,,
1,20,,,,
5,19.75,,,,
3,22,,,,
16,22,,,,
4,22,,,,
2,22,,,,
8,22,,,,
1,20,,,,
8,16.5,,,,
4,16.5,,,,
0,20.4,,,,
0,20,,,,
5,19,,,,
10,17,,,,
6,17,,,,
14,17,,,,
2,14,,,,
4,17.5,,,,
2,17.5,,,,
2,15.5,,,,
9,33,,,,
3,30,,,,
3,30,,,,
4,28,,,,
1,27,,,,
0,19,,,,
3,10,,,,
4,21,,,,
5,18,,,,
2,18,,,,
1,13.75,,,,
3,32,,,,
3,29.5,,,,
5,15.5,,,,
0,15.5,,,,
1,16.5,,,,
1,16.5,,,,
5,15.5,,,,
7,16,,,,
7,16,,,,
2,28.91,,,,
5,26,,,,
1,55,,,,
1,35,,,,
4,15,,,,
6,20,,,,
2,17.25,,,,
9,20,,,,
1,16,,,,
4,23.5,,,,
2,27,,,,
2,23,,,,
1,28.5,,,,
3,30,,,,
7,18.5,,,,
1,18.5,,,,
4,16,,,,
10,13,,,,
1,18,,,,
3,20,,,,
1,19.2,,,,
2,19.2,,,,
2,22,,,,
1,18.5,,,,
1,18.5,,,,
1,18.5,,,,
4,16.5,,,,
7,16,,,,
0,24,,,,
16,22,,,,
8,23,,,,
16,22,,,,
7,23,,,,
5,21,,,,
4,22,,,,
1,23.5,,,,
9,22,,,,
11,22,,,,
3,23.5,,,,
3,23.5,,,,
15,21,,,,
1,21,,,,
5,23.5,,,,
2,23.5,,,,
5,23.5,,,,
5,23.5,,,,
1,23.5,,,,
5,22,,,,
6,19,,,,
9,19,,,,
3,24,,,,
0,22,,,,
2,21,,,,
9,19,,,,
8,21,,,,
5,9.5,,,,
5,24,,,,
10,24,,,,
7,25.6,,,,
8,15,,,,
3,22.75,,,,
7,21.75,,,,
3,22.75,,,,
1,22.75,,,,
0,22.75,,,,
2,21.75,,,,
0,21.75,,,,
1,21.75,,,,
6,22.75,,,,
2,19.75,,,,
7,24.75,,,,
0,21.75,,,,
6,22.75,,,,
0,21.75,,,,
1,21,,,,
12,11.25,,,,
7,15,,,,
1,20,,,,
2,20,,,,
2,20,,,,
0,15.2,,,,
4,18,,,,
5,27.73,,,,
11,21,,,,
2,22,,,,
15,20,,,,
15,20,,,,
2,15,,,,
1,15,,,,
0,15,,,,
2,15,,,,
2,17.5,,,,
6,17.5,,,,
1,23.5,,,,
1,23.5,,,,
6,26.5,,,,
1,23.5,,,,
1,16,,,,
1,21.75,,,,
2,23,,,,
4,23,,,,
9,21.75,,,,
3,26,,,,
11,24.5,,,,
7,18,,,,
9,20,,,,
2,18,,,,
1,15.27,,,,
7,14.29,,,,
0,16.18,,,,
8,14.04,,,,
11,24.5,,,,
0,20.75,,,,
0,20.75,,,,
5,24.5,,,,
4,24.5,,,,
2,20,,,,
2,20,,,,
2,20,,,,
1,22,,,,
2,17,,,,
2,15,,,,
5,12,,,,
3,17,,,,
3,17,,,,
2,17.5,,,,
2,17.5,,,,
2,18,,,,
9,12,,,,
1,12,,,,
1,12,,,,
1,20,,,,
0,17.5,,,,
8,13.25,,,,
1,19,,,,
0,23.5,,,,
4,23.5,,,,
1,22.5,,,,
2,26.5,,,,
2,27.5,,,,
8,23.5,,,,
11,26.5,,,,
10,26,,,,
0,27.5,,,,
2,26.5,,,,
1,23.5,,,,
6,26.5,,,,
6,26.5,,,,
6,26.5,,,,
3,17,,,,
8,15,,,,
1,14.75,,,,
5,19,,,,
11,18,,,,
2,14.66,,,,
3,14.66,,,,
3,16,,,,
7,15,,,,
5,20,,,,
2,24.5,,,,
8,13.2,,,,
2,11.625,,,,
4,23,,,,
1,22,,,,
6,16,,,,
4,16,,,,
6,17,,,,
4,18,,,,
4,20,,,,
5,17.75,,,,
5,20,,,,
2,16.5,,,,
1,18,,,,
6,25,,,,
4,21,,,,
4,21,,,,
0,32,,,,
0,24.5,,,,
7,24.5,,,,
6,23.5,,,,
6,23.5,,,,
0,24.5,,,,
2,16,,,,
2,18.75,,,,
3,17,,,,
3,17,,,,
1,12,,,,
1,12,,,,
13,13.5,,,,
14,13.5,,,,
3,12.5,,,,
12,13.5,,,,
1,16.5,,,,
4,19,,,,
2,18,,,,
9,16.5,,,,
4,16.5,,,,
5,16.5,,,,
4,13.5,,,,
3,13.5,,,,
10,19,,,,
10,19,,,,
10,19,,,,
2,13.95,,,,
1,15,,,,
3,13.95,,,,
2,10,,,,
2,11.74,,,,
7,19,,,,
2,19,,,,
1,21,,,,
1,21,,,,
5,35,,,,
3,35,,,,
2,35,,,,
1,36,,,,
7,30,,,,
1,30,,,,
3,31.8,,,,
3,18.5,,,,
5,18.5,,,,
2,16,,,,
2,12,,,,
2,12,,,,
2,12,,,,
1,13.5,,,,
3,13.5,,,,
2,11.5,,,,
3,12,,,,
2,12,,,,
2,11.5,,,,
1,12,,,,
3,19.5,,,,
1,19.5,,,,
1,19.5,,,,
3,19,,,,
10,17.75,,,,
1,19.5,,,,
4,19,,,,
11,17.75,,,,
3,19,,,,
1,19,,,,
2,19,,,,
2,18,,,,
5,19,,,,
10,19,,,,
2,19.5,,,,
0,19,,,,
2,14.5,,,,
8,13.5,,,,
8,14.5,,,,
5,12,,,,
5,12,,,,
2,28,,,,
2,22,,,,
1,12,,,,
12,19.25,,,,
3,19.25,,,,
1,19.25,,,,
0,19.25,,,,
1,20.5,,,,
1,21,,,,
1,18,,,,
5,19,,,,
3,19,,,,
1,18.5,,,,
2,17,,,,
0,18,,,,
9,16.5,,,,
0,23,,,,
4,18,,,,
0,23,,,,
1,23,,,,
1,18,,,,
5,26.5,,,,
2,27,,,,
2,13.03,,,,
2,13.03,,,,
2,16,,,,
1,13.03,,,,
4,21.5,,,,
16,12,,,,
4,19.5,,,,
5,19.5,,,,
1,9.5,,,,
4,13,,,,
3,15,,,,
0,7.5,,,,
12,18,,,,
1,20,,,,
1,20,,,,
3,20,,,,
1,13.5,,,,
1,15.95,,,,
3,18,,,,
4,15,,,,
2,15,,,,
5,15,,,,
5,15,,,,
9,21.45,,,,
2,21.45,,,,
8,21,,,,
1,21,,,,
5,15,,,,
8,23.59,,,,
10,20.59,,,,
10,20.77,,,,
4,16.5,,,,
4,12,,,,
2,12,,,,
9,16,,,,
5,20.25,,,,
1,15,,,,
1,15,,,,
3,18.25,,,,
1,13.88,,,,
1,11,,,,
4,15,,,,
3,23.5,,,,
7,27.5,,,,
7,27.5,,,,
2,13.64,,,,
1,15,,,,
2,18,,,,
6,15,,,,
4,16,,,,
6,12,,,,
6,12,,,,
1,17,,,,
2,17,,,,
2,17,,,,
5,12,,,,
4,14,,,,
3,19,,,,
2,21,,,,
4,12,,,,
4,12,,,,
6,8.57,,,,
3,27,,,,
13,12,,,,
4,24,,,,
4,15,,,,
6,13.5,,,,
6,13.5,,,,
2,13.5,,,,
10,13.5,,,,
1,17,,,,
12,13,,,,
11,14,,,,
3,16,,,,
1,13.71,,,,
3,14,,,,
3,12,,,,
5,12,,,,
3,15.25,,,,
5,15.76,,,,
3,19.5,,,,
3,19,,,,
3,19.5,,,,
1,18.5,,,,
1,18.5,,,,
1,18.5,,,,
0,18.5,,,,
3,14,,,,
6,10,,,,
9,10,,,,
1,15,,,,
2,17,,,,
3,15,,,,
4,6.95,,,,
5,13,,,,
2,12,,,,
1,12,,,,
2,21.5,,,,
3,21.5,,,,
4,21.5,,,,
5,17,,,,
3,17,,,,
5,16,,,,
5,17,,,,
1,8.72,,,,
16,12,,,,
1,12,,,,
16,12,,,,
7,18.5,,,,
10,19.64,,,,
2,30,,,,
2,40,,,,
1,28,,,,
1,30,,,,
5,34,,,,
1,33,,,,
2,32,,,,
1,35,,,,
3,18.5,,,,
1,21.5,,,,
10,17,,,,
1,12,,,,
3,6.46,,,,
1,14.6,,,,
6,6.46,,,,
11,19,,,,
10,18.5,,,,
6,19,,,,
2,14.5,,,,
3,17.5,,,,
2,17.5,,,,
2,12.48,,,,
3,17.5,,,,
15,19.75,,,,
12,19.75,,,,
8,18,,,,
8,18,,,,
8,16,,,,
5,15,,,,
0,15,,,,
1,14,,,,
5,15,,,,
4,21.5,,,,
4,17,,,,
10,17,,,,
4,18,,,,
1,21,,,,
4,17.48,,,,
7,22,,,,
5,22.31,,,,
1,20,,,,
6,19,,,,
8,17,,,,
7,19,,,,
10,19,,,,
7,19,,,,
1,16.5,,,,
4,16.5,,,,
8,19,,,,
1,17,,,,
11,19,,,,
8,20,,,,
6,20,,,,
6,21,,,,
3,22,,,,
1,18,,,,
1,20,,,,
1,20,,,,
1,18,,,,
13,22.5,,,,
9,22,,,,
6,22.5,,,,
7,22.5,,,,
2,24,,,,
4,24,,,,
8,29.5,,,,
9,29.5,,,,
3,29.5,,,,
0,30,,,,
3,35,,,,
2,23,,,,
8,26.88,,,,
2,20,,,,
3,24.76,,,,
0,15,,,,
0,15,,,,
1,17.5,,,,
11,13.5,,,,
11,13.5,,,,
3,40,,,,
10,35,,,,
1,15,,,,
5,17,,,,
5,15,,,,
3,16,,,,
2,17,,,,
3,21,,,,
3,25,,,,
4,35,,,,
1,36,,,,
3,34,,,,
3,38,,,,
1,32,,,,
1,36,,,,
1,32,,,,
5,17,,,,
6,18,,,,
9,18,,,,
3,16,,,,
3,16,,,,
0,17,,,,
1,12,,,,
13,16,,,,
2,16,,,,
5,19,,,,
5,19,,,,
6,19,,,,
12,19,,,,
7,19,,,,
1,16.2,,,,
1,20.8,,,,
5,15,,,,
1,17,,,,
5,15,,,,
0,17,,,,
5,15,,,,
3,17,,,,
10,16.5,,,,
2,20,,,,
10,18,,,,
11,8,,,,
11,8,,,,
1,20,,,,
12,18,,,,
6,16,,,,
6,16,,,,
3,22.5,,,,
0,20,,,,
5,17.5,,,,
7,19.17,,,,
6,11,,,,
7,18.5,,,,
0,17,,,,
2,15,,,,
3,18,,,,
0,17,,,,
3,18,,,,
2,15,,,,
1,16,,,,
7,18.5,,,,
6,18.5,,,,
5,17,,,,
5,18.5,,,,
2,7,,,,
7,7.5,,,,
1,8.5,,,,
2,8.5,,,,
2,8.5,,,,
2,8.5,,,,
3,18.5,,,,
14,18,,,,
8,19,,,,
3,18,,,,
1,20,,,,
3,20,,,,
8,15,,,,
1,16,,,,
6,16,,,,
4,15,,,,
2,15,,,,
0,15,,,,
7,18,,,,
3,19,,,,
14,18,,,,
0,27.5,,,,
2,27.5,,,,
7,25,,,,
2,18,,,,
2,27.5,,,,
2,16,,,,
9,16.5,,,,
8,14.5,,,,
8,14.5,,,,
4,13.4,,,,
2,17.5,,,,
4,17.47,,,,
4,17.62,,,,
6,12,,,,
2,21,,,,
1,18,,,,
10,21.5,,,,
2,21.5,,,,
0,18,,,,
3,17.5,,,,
1,10,,,,
2,15.75,,,,
3,27.5,,,,
2,16.5,,,,
3,10.65,,,,
3,16.5,,,,
3,15,,,,
3,14.19,,,,
1,10.28,,,,
1,8,,,,
7,12.5,,,,
16,25,,,,
7,15,,,,
2,15,,,,
2,25,,,,
11,18,,,,
4,13,,,,
4,13,,,,
4,12.425,,,,
15,16,,,,
15,16,,,,
11,16,,,,
1,11,,,,
2,12,,,,
2,30,,,,
5,18,,,,
3,26,,,,
1,18,,,,
3,22.5,,,,
0,20,,,,
3,24,,,,
8,21,,,,
2,22.5,,,,
1,22.5,,,,
2,18.25,,,,
11,16.95,,,,
0,20,,,,
10,16.95,,,,
13,19,,,,
7,19.25,,,,
3,9.25,,,,
14,25,,,,
5,13.5,,,,
2,13.5,,,,
2,18,,,,
2,16.62,,,,
1,21.6,,,,
2,35.95,,,,
1,36.95,,,,
2,25.95,,,,
2,22.95,,,,
1,21.95,,,,
0,18.95,,,,
1,11.4,,,,
2,19.75,,,,
2,15,,,,
3,15,,,,
3,15,,,,
1,20.75,,,,
1,12,,,,
7,22,,,,
8,23,,,,
0,22,,,,
3,15.5,,,,
10,15.5,,,,
3,14,,,,
1,18.57,,,,
7,18.5,,,,
2,22,,,,
9,17,,,,
6,23,,,,
4,12,,,,
3,14.5,,,,
2,15.75,,,,
1,16,,,,
2,14.95,,,,
16,14.95,,,,
1,18.5,,,,
3,19.5,,,,
4,23,,,,
8,23,,,,
7,23,,,,
6,19.5,,,,
4,23,,,,
1,18.5,,,,
4,18.5,,,,
3,21,,,,
3,23,,,,
3,18.5,,,,
6,18.5,,,,
7,18,,,,
4,19,,,,
1,18,,,,
7,18,,,,
4,19,,,,
7,18,,,,
0,18,,,,
2,18.95,,,,
1,15,,,,
2,15,,,,
2,15,,,,
5,14.95,,,,
3,15.95,,,,
8,15.95,,,,
14,15.5,,,,
14,15.95,,,,
3,10,,,,
9,16.8,,,,
4,20,,,,
1,25,,,,
2,17.52,,,,
12,20,,,,
7,28,,,,
7,28,,,,
1,31.06,,,,
8,28,,,,
2,31.06,,,,
8,28,,,,
2,27,,,,
2,27,,,,
6,32.5,,,,
1,27,,,,
2,12,,,,
5,9.75,,,,
4,9.75,,,,
4,9.75,,,,
6,9.75,,,,
4,38,,,,
3,28.5,,,,
1,30,,,,
1,32,,,,
2,34,,,,
2,32,,,,
1,30,,,,
2,29,,,,
0,29,,,,
2,17.5,,,,
2,18,,,,
1,12.5,,,,
2,13.5,,,,
5,14,,,,
2,16.8,,,,
5,14,,,,
5,14,,,,
5,12,,,,
7,11.5,,,,
7,11.5,,,,
16,10,,,,
2,14.5,,,,
3,14.5,,,,
2,14,,,,
0,18,,,,
4,18,,,,
3,18,,,,
3,19,,,,
1,19,,,,
1,19,,,,
1,16.5,,,,
10,17,,,,
2,17.5,,,,
3,17,,,,
5,16.5,,,,
3,17.5,,,,
1,17.5,,,,
8,17.5,,,,
5,16.5,,,,
0,18,,,,
1,28,,,,
1,26,,,,
2,14,,,,
2,19,,,,
4,20.5,,,,
2,21.6,,,,
5,22,,,,
1,21,,,,
3,9,,,,
5,9,,,,
0,22,,,,
0,22,,,,
2,30,,,,
6,31,,,,
3,32.5,,,,
6,29.5,,,,
1,29.5,,,,
1,27.5,,,,
3,31,,,,
4,17,,,,
1,32,,,,
3,35,,,,
2,32,,,,
1,30,,,,
8,45,,,,
0,32,,,,
0,32,,,,
1,19.5,,,,
5,27,,,,
4,29,,,,
3,18,,,,
4,18,,,,
3,18,,,,
1,18,,,,
5,12,,,,
3,20,,,,
6,23,,,,
2,21.5,,,,
0,14.5,,,,
6,14.5,,,,
6,30.93,,,,
6,30.93,,,,
0,16.16,,,,
0,25,,,,
3,22,,,,
3,22,,,,
0,25,,,,
2,24,,,,
2,28,,,,
1,23.08,,,,
6,21.51,,,,
3,17.78,,,,
2,15,,,,
2,25,,,,
6,22,,,,
1,24,,,,
10,24,,,,
7,24,,,,
6,24,,,,
1,22,,,,
0,12,,,,
2,18,,,,
7,20,,,,
